         17817 function calls (17496 primitive calls) in 506.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      178    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       41    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:524(__getattr__)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/numbers.py:32(Complex)
       63    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:33(_is_sunder)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3898(__len__)
       11    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_decoder}
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3650(__init__)
       45    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/GimpPaletteFile.py:1(<module>)
        9    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:689(_register_basic)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      157    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:229(<listcomp>)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:443(chunk_IDAT)
      114    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:260(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       60    0.000    0.000    0.000    0.000 {built-in method flags}
       69    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:250(match)
      168    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       22    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:665(_unpack)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/GifImagePlugin.py:39(LoadingStrategy)
       28    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       18    0.000    0.000    0.000    0.000 {built-in method setItem}
       60    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:173(append)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:99(Disposal)
       69    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:161(__len__)
      168    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       56    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
